paragraphs,reference_summary
" Sarêng dumugi dintên kamulyan ingkang sampun dangu kaajêng-ajêng, inggih punika têlasing sêsanggêmanipun, para Pandhawa angrasuk busana kasatriyan, ingkang rinêngga ing sêsotya nawarêtna, lumêbêt ing suyasa palênggahanipun sang prabu Matswa, sarta lajêng lênggah ing palênggahan ingkang amung kangge sadhiyanipun para narendra. Nalika Prabu Matswa miyos, priksa Pandhawa sami linggih ing ngriku, lajêng amêngku dêduka. Pangerang-erangipun Prabu Matswa, dene sami botên priksa dhatêng dhirinipun. Nanging Arjuna lajêng matur: kawuningana, punika sadhèrèk kula sêpuh, Maha Prabu Yudhisthira ingkang ambêg adil, inggih pêpêthinganing băngsa Kuru. Prabu Matswa anjêngêr, wêkasan lajêng andangu, bilih nyata Yudhisthira, pundi ta para kadang-kadangipun, sarta Drupadi wontên ing pundi. Arjuna ngaturakên satunggal-satunggal: pangagênging rêratêng, pangagênging gamêl, sarta pangagênging pangèn, Sarindri tuwin sariranipun. Sang prabu bingah amrawata suta, ingkang măngka pangaji-ajinipun dhatêng para putranipun Pandhu, praja Wiratha sadaya kaparingakên dhatêng Yudhisthira, dene Arjuna kaganjar putrinipun, ingkang akêkasih Dèwi Utari. Arjuna botên kadugi nampèni, amargi Dèwi Utari pangrêngkuhipun dhatêng sariranipun kadi dhatêng bapa, mila manawi sang prabu marêngakên, Dèwi Utari badhe kadhaupakên kalayan sutanipun jalêr, nama Abimanyu, pulunanipun Basudewaputra.;","276: Pandhawa ngresula busana kasatriyan, lênggah ing suyasa, Prabu Matswa wiwit ndangu, Arjuna matur, Yudhisthira adil."
"Para nata sakiwa-têngêning Wiratha sami mêrtamu, punapadene Sri Krêsna angirid Sumbadra, kadhèrèkakên Abimanyu, tuwin sanès-sanèsipun malih. Abimanyu lajêng kadhaupakên kalihan putri nata, ingkang sulistya ing warni, mawi pamiwahan agêng. Dados minăngka panutuping anggènipun kakendhangakên ngantos tiga wêlas warsa, punika pasamuan agêng dhaupipun Abimanyu kalihan Utari. ;","277: Para nata sakiwa-têngêning Wiratha mêrtamu, Abimanyu kadhaupakên kalihan putri nata, dhaupipun Abimanyu kalihan Utari."
"Ing wêkasaning bab ngajêng, nyariyosakên para narendra sami ngêmpal ing pamiwahaning pangantèn, ingkang kawontênakên satêlasing wêwangên anggènipun para Pandhawa kakendhangakên. Sabibaring bujana sampun tamtu lajêng wontên pitakenan: kadospundi wangsuling kaprabonipun. Mêsthipun jêngandika botên kasupèn, bilih prajanjiyanipun, satêlasing wêwangên anggènipun kendhang, kaprabonipun badhe kawangsulakên malih. Ingkang gadhah wêwênang ngurus prakawis punika para Pandhawa, nanging Duryudana punapa purun mituruti. Ing Sêrat Mahabarata jilid urutipun punika, ing Udyogaparwa, isi jawabipun pitakenan wau, sarta nyariyosakên lêlampahan sadèrèngipun wontên prang agêng.;","278: Para narendra ngêmpal ing pamiwahaning pangantèn, pitakenan prajanjiyanipun, prajanjiyanipun satêlasing wêwangên."
"Dintên sabiraring miwaha pangantèn, para nata tuwin para rajaputra sami arêrêmbagan wontên ing suyasanipun Prabu Matswa, ingkang sabên-sabên kangge animbang prakawis, parêpatan agêng wau dipun pramugarèni dening Prabu Drupada.;","279: Dintên pangantèn, para nata lan rajaputra arêrêmbagan ing suyasanipun Prabu Matswa, parêpatan agêng dipun pramugarèni Prabu Drupada."
"Sasampunipun anglairakên prêluning anggènipun sami ngêmpal, parêpatan tidhêm botên wontên sabawanipun. Para satriya sami mandêng dhatêng Sri Krêsna, kados sampun rumaos manawi Sri Krêsna punika langkung wicaksana, sarta sangêt sih dhatêng Pandhawa. Mila inggih amung Sri Krêsna ingkang kêdah amiwiti ngrêmbag prakawis wau, kadospundi pamanggihipun. Sri Krêsna nyariyosakên kalayan rêringkêsan, kasangsaranipun para Pandhawa nalika taksih timur, ingkang margi saking piawoning pandamêlipun Duryudana. Sri Krêsna nyuwun timbanganipun para nata, kadospundi lampah ingkang sagêd adamêl panrimahipun para Pandhawa tuwin Kurawa, nanging ingkang turut kalayan lampah adil, pundi ingkang kagalih prayogi dening para nata lajêng badhe katindakakên. Nanging pamanahipun Duryudana utawi pandamêlipun ugi dèrèng kasumêrêpan, pramila saking pamrayoginipun Sri Krêsna, kêdah nglampahakên wakil dhatêng Duryudana supados anglilahakên sapalihing nagari dhatêng Yudhisthira.;","280: Prêluning parêpatan botên wontên sabawanipun. Sri Krêsna nyariyosakên kasangsaranipun para Pandhawa, nyuwun timbanganipun para nata."
"Baladewa anambung sabda, manawi Yudhisthira purun nglilahakên sapalihing nagari, Duryudana kintênipun ugi badhe amituruti. Punapadene sangêt pamurihipun, supados ingkang kapatah dados wakil, punika sagêda mêmalat sih, dados sagêd angêntas kasangsaranipun Yudhisthira anggènipun kasukan. Kang ambêg purun risang Satyaki sangêt botên condhong, lajêng majêng sarwi pratela bilih kalampahanipun Yudhisthira purun kasukan, punika amung anêtêpi kasatriyanipun, wasana matur: kula têdhanipun sarana lêpasing jêmparing kemawon. Drupada mrayogèkakên supados sampun ngantos prang, ananging ugi nyariyosakên, bilih angèngêti wangkalipun Duryudana ingkang samangke sampun anyuruhi para narendra sakiwa-têngêning praja Astina, sampun saèstu badhe tumuntên kalampahan prang, amargi tiyang ingkang sami ambêg utami sabên dipun sraya, tamtu lajêng amituruti, mila wêwakil punika kêdah amanggihi Prabu Drêtarastra. Ingkang makatên dipun prayogèkakên dening Sri Krêsna, sarta Sri Krêsna lajêng kondur dhatêng Dwaraka. Drupada amatah paranpara Pancala, kautus matur ratuning băngsa Kuru, dene para satriya sanès-sanèsipun sami ngêmpal, agolong-golongan, amilih pundi ingkang badhe kabiyantu.; ","Baladewa nyarios Yudhisthira purun nglilahakên nagari, Duryudana badhe ngiring, nanging Drupada ngajak supados botên prang, lan Sri Krêsna kondur dhatêng Dwaraka."
"Duryudana punapa Arjuna sami kapengin kabiyantu dening Kesawa, mila sami dhatêng Dwaraka. Dhatêngipun ing Dwaraka sarêng sadintên, nanging Sri Krêsna sawêg pinuju sare. Duryudana lajêng lênggah ing palênggahan adi ing sacêlaking ulon-ulon, nanging Arjuna amarikêlu asta angapurancang wontên ing dagan. Sarêng Sri Krêsna wungu, ingkang kauningan rumiyin Arjuna, sasampunipun angsung pambage, lajêng andangu sababipun, dene nêdhênging anandhang pakèwêd agêng lajêng katilar dhatêng Dwaraka. Duryudana mangsuli rumiyin, sarèhning badhe wontên paprangan agêng, pramila dhatêng rumiyin wigatos badhe mintasraya ing panjênênganipun. Sri Krêsna karênan sarta pitados manawi Duryudana ingkang dhatêng rumiyin, nanging lajêng mangsuli, sarèhning sawungunipun ingkang katingalan rumiyin Arjuna, mila ugi badhe ambiyantu ing sakalih-kalihipun. Sri Krêsna kagungan wadya  èwu, pêpilihan, sangkêp sagêgamaning prang, dene ingkang minăngka sisihanipun wadya  èwu wau, sariranipun tanpa kanthi, tanpa dêdamel, tur botên tumut lumawan prang, punika sami kapiliha. Sarèhning Arjuna ingkang nèm, kêdah amilih rumiyin, andikanipun: hèh atmajaning Kunthi, sira dakwênangake milih dhisik. ;","Duryudana lan Arjuna dhatêng Dwaraka, nanging Sri Krêsna sare, Arjuna milih Sri Krêsna minangka pitulungan."
" Arjuna botên mawi kamanah lajêng amilih Sri Krêsna. Amargi sihipun dhatêng Sri Krêsna, angungkuli sadaya kawontênan ing dunya. Duryudana sangêt kalêgan dene sariranipun angsal bageyan wadyabala agêng. Baladewa botên karsa ambiyantu dhatêng kalih-kalihipun. Duryudana wangsul dhatêng Astinapura kalihan inggaring panggalih ngirit wadya sadasa èwu, tur pêpilihan, pangintênipun angungkuli Sri Krêsna, amargi Sri Krêsna botên karsa rumagang ing prang. Sapêngkêripun Duryudana, Sri Krêsna dangu dhatêng Arjuna, kadospundi dene amilih sariranipun ingkang botên badhe tumut lumawan prang. Atur wangsulanipun Arjuna, sariranipun sampun kadugi anyirnakakên sadaya mêngsahipun, dados anggènipun amilih Sang Kesawa punika amung amrih kuncara ing jagad. Sampun dangu anggènipun kapengin bratayuda jayabinangun têmbe, ratanipun dipun kusirana Sri Krêsna, aturipun Arjuna: amila punapa paduka kaparêng anglêksanani pangajêng-ajêng kula. Wangsulanipun Kresna: supaya kasêmbadan pangarêp-arêpira, ingsun bakal angusiri ratanira. Kalayan suka sokuring panggalih, wangsulipun Arjuna asêsarêngan Sri Krêsna, inggih sêkaring băngsa Dhaharsa. Yudhisthira amarwata suta, karantên sampun kalêbêt ing wêca, sintêna ingkang kadunungan Sri Krêsna, punika ingkang jaya ing palagan agêng têmbe.;","Arjuna milih Sri Krêsna amarga ajêng-ajênging jagad, lan Sri Krêsna maringi pitulungan dhatêng Arjuna supaya kasêmbadan."
"Duryudana mirêng pawartos manawi Prabu Salya ing nagari Madras, pangkat nêdya ambiyantu Pandhawa, mila anggènipun badhe ngrumiyini mêngsahipun, lajêng anandukakên lampah cidra. Ing margi ingkang badhe dipun langkungi dening Prabu Salya, sami dipun adêgi pakuwon, sarta kasadhiyan sêgah sakalangkung prayogi. Nalika sang prabu Salya animbali dhatêng tiyang ingkang mapakakên, kinintên wadyaning Pandhawa, Duryudana piyambak angladosi, sarêng sampun rampung anggènipun ngladosi pamundhutipun, Duryudana matur angasih-asih supados sang prabu têmbe karsa dados senapati Kurawa. Prabu Salya rumaos kacêmplung ing wuwu. Mila kapêksa anyagahi, kalayan risaking panggalih anggènipun anglajêngakên lampahipun dhatêng Pandhawa, prêlu paring priksa anggènipun sampun kapêksa dening Kurawa. Yudhisthira enggal umatur, manawi lampahanipun sang prabu punika anglênggahi kautamèn, ananging Yudhisthira gadhah panyuwun, manawi Sang Prabu Salya angusiri ratanipun Karna anggènipun tandhing prang kalayan Arjuna, punika sang prabu kêparênga angayomi Arjuna, tuwin anyangêtakên kawantêranipun Karna, sarana angalêmbana Arjuna, amargi sampun botên sêmang-sêmang, manawi sang prabu badhe kasuwun supados angusiri ratanipun Karna, karantên  tiyang sami priksa wawrating tandhing, Salya sawawrat kalayan Sri Krêsna. Prabu Salya nyanggêmi, lajêng pangkat sawadyabala dhatêng Astina. ;","Duryudana ngajak Prabu Salya ngladosi Pandhawa, nanging Salya malah nyêpêkakên pitulungan dhatêng Arjuna."
"Para prajurit sami angêmpal golong-golongan, ingkang kaayoman têtunggulipun Yudhisthira sadaya wontên,  aksuini, dene wêwêngkonipun Duryudana sawêlas. Paranpara Pancala sampun dumugi ing Astinapura, matur pêpèngêt, manawi hakipun Pandhawa dhatêng têtilaranipun kang rama, sampun kakêkap dening putranipun prabu Drêtarastra, sarta sarêng Pandhawa ngadêgakên karaton piyambak ugi lajêng dipun alap malih sarana lampah silip, mila sampun saèstu prayogi bilih gadhahanipun Pandhawa kawangsulakên, kados prajanjiyan ingkang sampun katamtokakên, tinimbang angwontênakên karisakan agêng amargi wontên pêpêrangan. Bisma angrujuki dhatêng pramayoginipun paranpara Pancala, nanging Karna lajêng sumambung atur ingkang kaduk sêrêng, mila lajêng dados darêdah. Sang prabu Drêtarastra anyapih ingkang sami garêjêgan, sarta paranpara Pancala kaaturan wangsul, amargi sang prabu badhe utusan Sanjaya dhatêng Pandhawa.; ","Prajurit-prajurit nglompok, Pancala ngajak Pandhawa dhatêng Astinapura, lan Prabu Drêtarastra ngutus Sanjaya dhatêng Pandhawa."
" Sanjaya kautus maringakên pangèstunipun sang prabu dhatêng para Pandhawa, sarta kadhawahan anglairakên pangalêmbananipun sang prabu sarta pangimur-imur, nanging sang prabu botên dhawuhakên kasagahan punapa-punapa. Sanjaya amung kadhawahan ngangkah kalampahanipun botên saèstu prang. Awêwaton sêsanggêmaning tiyang gêsang. Wangsulanipun Yudhisthira sawatawis sêrêng: tiyang Pandhawa botên niat prang, nanging sang prabu kalihan putranipun ingkang mêksa prang amargi angrisak adil, mugi Indraprastha kawangsulna. Sanjaya amêksa-mêksa, matur manawi langkung prayogi gêsang papriman, tinimbang gêsang anjalari prang. Yudhisthira matur dhatêng Sri Krêsna kadospundi ingkang kêdah dipun lampahi. Dhawuhipun Sri Krêsna dhatêng Yudhisthira punika prayogi sami kamirêngakên, sarta botên abau kapine. Mratelakakên prayoginipun Pandhawa, Sanjaya angèngêtakên dhatêng wajibing kasatriyan, ingkang makatên adamêl sangêting kasangsaranipun, ewadene mêksa taksih ngangkah rukun, ngantos botên angèngêti wajibing satriya. Sri Krêsna piyambak sagah badhe dhatêng prajanipun băngsa Kuru, wigatos badhe tumut angrêmbag prakawis punika. Ewadene Sri Krêsna ugi dhawuh manawi sampun botên kenging dipun singkiri, mêsthi kalampahan prang. Sanjaya pamit, Yudhisthira marêngakên, sarwi pinitungkas: pêpenginan kang angrubeda batinira, yaiku  kêpenginira supaya Kurawa mangrèh ing jagad tanpa tandhing mau ora pratitis, kang mangkono ora adil. Saka panêmuku, êndi kang aku ora bungah yèn kataman, aja pisan-pisan katandukake marang wong liya, hèh pêpêthinganing senapati têdhak Barata, apa ambalèkake Indraprastha apa milih prang.;","Sanjaya dhawuhipun Prabu Drêtarastra maring para Pandhawa supaya botên prang, nanging Yudhisthira nyarios manawa Pandhawa botên niat prang, lan ngendika prêlu ngudi kaadilan."
"Sasampunipun ngandika makatên, Yudhisthira lajêng mitungkas dhatêng Sanjaya, angaturna sêmbah pangabêktinipun dhatêng Prabu Drêtarastra, Bisma tuwin Widura. Punapadene dhatêng Duryudana, supados mratelakna manawi sariranipun botên pisan-pisan saksêrik dhatêng panganiayanipun, sarta panyamahipun dhatêng Dèwi Krêsna. Ananging Yudhisthira mêksa nyuwun wangsulipun sapalihing nagari, punapa sapropènsi, manawi kaparêng tamtu sampun botên wontên rêsbak punapa-punapa, lêstantun sami rêrukunan, Sanjaya lajêng mundur mantuk dhatêng Astina.; ","Yudhisthira ngaturang sembah pangabêkti dhatêng Prabu Drêtarastra lan Duryudana, ngajêng wangsulanipun nagari kanthi nyuwun rêspons sing prasaja."
"Sadhatêngipun Sanjaya dangu sangêt anggènipun sami rêbat lêrês, sarta kados punapa ngandhar-andharing aturipun Sanjaya, anggènipun ngaturakên punapa ingkang sampun kamirêngakên tuwin dipun sumêrêpi. Bisma angèngêtakên dhatêng Kurawa, manawi Wasudewaputra tuwin pun Arjuna, punika panjanmanipun Nara kalihan Narayana, prajuriting dewa, mila botên wontên tiyang ingkang sagêd ngawonakên, makatên ugi Durna angarih-arih sang prabu supados mituruta sapamrayoginipun Sang Bisma. Ananging malah lajêng kasingkur, andangu kathahipun wadya Pandhawa, tuwin lajêng karuna ngèngêti gênging karisakan ingkang badhe kalampahan, ewadene ugi lajêng kèndêl amargi saking aturipun kang putra. Duryudana angecani panggalihipun kang rama, matur manawi Duryudana tamtu badhe manggih unggul, amargi sariranipun pêpêthinganing para senapati ingkang wasis asikêp gada, langkung malih Sang Bisma, Drona, Aswatama, Krêpa tuwin Karna dados kanthinipun, sarta wadyanipun kaot sapratigan kathah wadya Kurawa. Ing ngriku wiwitipun rêrêmbagan malih. Duryudana pratela sanadyan namung sanyari botên badhe purun nyukani siti dhatêng Pandhawa.;","Bisma ngandharaken dhatêng Kurawa menapa Arjuna lan Wasudewa punika kagunganing dewa, nyarèkaké kekuwatan Pandhawa lan ngyakinake Duryudana babagan kasuksesan."
"Wasana Prabu Drêtarastra piyambak ugi mrayogèkakên sagêdipun arêrukunan, amargi prang punika amung adamêl karisakaning kalih golongan. Duryudana botên santun kêkêncêngan, inggih punika prang, angungasakên kêkêndêlanipun piyambak, tuwin anêmtokakên sariranipun botên sagêd kasoran. Karna ambiyantu Duryudana sarta sêsumbar, manawi bala  Pandhawa badhe amung kasirnakakên dening tangan kiwa. Ngantos sawatawis sêrêng Bisma anggènipun ngêndhak. Karna lajêng cariyos bilih badhe sèlèh dêdamêl, sarta botên badhe prang sadèrèngipun Sang Bisma kaanggêp layon, sasampunipun cariyos makatên, Karna mêdal, wangsul dhatêng pakuwonipun piyambak.;","Prabu Drêtarastra nyuwun supaya perang ora kelakon amarga mung bakal nyebabake karusakan, nanging Duryudana tetep ngandelake kekuatan Kurawa kanggo ngalahake Pandhawa."
"Drêtarastra taksih tansah angarih-arih kang putra supados atut arukun kalihan Pandhawa. Nalika wau sang prabu utusan nimbali Sanjaya. Wigatos kapasrahan kalampahanipun rukun. Sanjaya munjuk kêdah Dèwi Gêndari, nanging Wiyasa rawuh, wontên sacêlakipun Prabu Drêtarastra tuwin Duryudana, sang maharsi ngandika: manawa Wasudewaputra iku jiwaning sagung dumadi, iya dewaning pêpasthèn lan pati, sarta kang dumadèkake kabèh iki, êndi dununge Krêsna, yaiku kang mênang. Ing ngriku Prabu Drêtarastra amêtêlakên kang putra supados angayoma dhatêng Sang Kesawa. Ananging Duryudana lajêng matur: sanadyan putranipun Dèwi Dewaki ingkang salira bathara sampun sayuk saabipraya kalihan Arjuna, badhe nglêbur sadaya manungsa, kula badhe botên purun nungkul dhatêng Kesawa. Kalayan sampun tanpa karêkat kang rama tuwin kang ibu anggènipun angoso-oso  dhatêng kang putra.;","Sanadyan Prabu Drêtarastra pengin rukun, Duryudana tetep ora setuju karo krêsna, lan ngandhani yèn ora bakal ngalahake Arjuna, amarga yakin bisa ngalahake Pandhawa kanthi kekuatan dhewe."
" Sang Wiyasa lajêng dhawuh supados sang prabu kemawon angayoma dhatêng Sang Janardana. Ingkang sami rêrêmbagan lajêng kèndêl awit saking pamambêngipun Sanjaya kalayan anêbut asmanipun Sri Krêsna, saha kaparêngipun Prabu Drêtarastra,--- adhuh, owêl dene botên sagêd kalampahan manglindhung pangwasaning dewa. Anyarêngi lampahan punika, para Pandhawa wau ugi sami angrêmbag prakawis wau. Sri Krêsna ngandika manawi badhe pinanggih Kurawa, parlu badhe amucuki prang. Yudhisthira sakawit mambêngi, awit sumêlang bilih Sri Krêsna manggih pakèwêt. Ananging sarêng Sang Kesawa ngandika manawi pundi ingkang badhe kasirnakakên, mêsthi botên wontên tiyang ingkang sagêd mambêngi, ing ngriku Yudhisthira lajêng jumurung dhatêng karsanipun kang raka. Sri Krêsna angèngêtakên, manawi Yudhisthira punika satriya, têtela nistha manawi sugêngipun amung lêstantun saking anggènipun pêpariman, dene tindakipun Sri Krêsna dhatêng Astina punika wigatos badhe ngangkah kalampahanipun Kurawa anglilahakên sapalihing nagari ingkang botên sarana prang. Ewadene Sri Krêsna ugi lajêng ngandika, manawi prakawis prangipun Kurawa kalayan Pandhawa, sampun tamtu kalampahan. ;","Sang Wiyasa ngendika supaya Sang Prabu nglindhungi Sang Janardana, nanging para Pandhawa tetep ngrembug lan ngiringi langkah Sri Krêsna sing ngandharake yen perang Kurawa-Pandhawa bakal kelakon."
"Wêkdal punika wontên lêlampahan sakalangkung mokal, amargi Bima ingkang sêngsêm sangêt dhatêng băndayuda, ucapipun ngewak-ewakakên manah, mrayogèkakên sagêdipun kalampahan rêrukunan, supados Pandhawa botên dados pangrisaking bangsanipun. Kalih prakawis wau anglêngkara sangêt, candranipun kadi gunung ingkang sirna awratipun, utawi latu têlas bêntèripun. Kesawa mèsêm sarwi alon pangandikanipun, mratelakakên bilih ucapipun Bima ingkang makatên wau mratandhani Bima kadadak karaos sumêlang. Mokalipun, kadidene kewan dipun prentah sarana têmbung. Sarêng midhangêt pangerang-erangipun Sri Krêsna makatên wau, Bima lajêng nêpsu, matur manawi anggènipun wicantên makatên punika botên saking ajrih, amung angèngêti manawi sami têdhak Barata. Ing ngriku Sri Krêsna ngandika kalayan sêmu mangarah-arah, ngèngêtakên manawi Bima punika lugu darahing băngsa satriya, punapa darunanipun têka wicantên makatên, amargi salami-laminipun tamtu botên badhe kalampahan sae, bilih wohing pandamêlipun punika kamanah langkung parlu tinimbang wajibipun. Mênggahing kawajiban kêdah dipun rampungakên, sanadyan kados punapa kemawon kadadosanipun.;","Bima sangat prihatin karo perang, nanging Sri Krêsna nyaranke yen ora ana jalan liya, lan Yudhisthira nampa keputusan kasebut minangka kewajiban satriya."
" Pangkatipun Sri Krêsna anglampahi pakaryan agêng dhatêng Astinapura, punika amarêngi wulan Kêrtika. Dupi Prabu Drêtarastra mirêng, lajêng dhawa tata-tata pamiwahan anggènipun badhe nampèni rawuhipun Sri Krêsna, dhawuhipun dhatêng Duryudana, ing margi-margi wiwit wêwêngkon Astina, sabên saonjotan kaadêgana tarup wêwangunan adi, kasadhiyakakên kangge pakèndêlan, murih Sang Kesawa karsa kèndêl. Sarêng Sang Widura mirêng rekanipun sang prabu makatên wau, sangêt botên jumurung, amargi ingkang makatên atêgês Sang Kesawa nêdya katungkulakên sarana kasugihan, dados sampun tamtu botên sagêd kalêksanan. Duryudana angrujuki dhatêng pamrayoginipun kang paman, matur manawi wêkdal punika botên prayogi angluhurakên Sang Kesawa sarana lampah lêlamisan. Duryudana matur manawi piyambakipun botên angidhêp ing dewa, wicantênipun: ingkang sampun dados kêkêncênganing manah kula, punika prayogi sangêt, Janardana pangayomanipun para Pandhawa badhe kula cêpêng, amargi dhatêngipun sarta Hrèsi Kesawa sapisan punika dados utusan. Sang Bisma anjola, ngandika kadi angêsotakên dhatêng Duryudana, manawi kalampahan makatên têmtu Kurawa badhe lêbur tanpa kukupan, Duryudana botên kadugi mirêngakên kathahing pamrayogi, mila lajêng mêdal ing jawi.;","Sri Krêsna teka ing Astinapura lan Duryudana ora gelem nampa rawuhipun kanthi cara sing ngurmati, malah ngandharake pandangane kanggo ora nampa Sri Krêsna."
"Lampahipun Sri Krêsna saya cêlak kalihan karaton Astina, para putranipun Prabu Drêtarastra kairid dening Bisma, Drona tuwin Krêpa amapagakên Sri Krêsna. Sasampunipun sami bage-binage, Sri Krêsna lajêng dhatêng dalêmipun Widura, sowan ing Dèwi Kunthi. Sasampunipun anglairakên risaking panggalihipun, katêtangi raos kasudiraning kasatriyan, Dèwi Kunthi ngandika dhatêng kang putra Sri Krêsna: ""iki wus cêdhak wancine kaya pangarêp-arêpe para putrine băngsa satriya gone anak-anak priya. Lamun ing wanci iku sira tumambuh, ora gawe apa-apa, dunya kang samêngko padha angluhurake ing sira iku mêsthi malah padha angucapake têmbung panacad kang lumrahe ora bisa kawêtu, yèn kongsi kalakon mangkono dadi sira iku anegakake aku. Manawa wus têkan măngsakalane, sanadyan uripe kang gêdhe bangêt ajine, iku uga kudu kinurbanake"". Sasampunipun Sri Krêsna anglipur dhatêng kang ibu, Sri Krêsna lajêng dhatêng suyasanipun Duryudana sangêt sinugun-sugun, nanging sarêng kaaturan bujana Sri Krêsna botên karsa dhahar. Aturipun Duryudana kalayan aris, ananging nawung pangangkah badhe nandukakên cidra, pitakènipun: wontên punapa dene botên karsa dhahar, wangsulanipun Sri Krêsna: prayogi  sangêt: ing atasipun utusan sawêg kenging nêdha manawi prêlu ingkang kabêkta punika sampun rampung.;","Sri Krêsna rawuh ing Astina, dikarepake oleh para punggawa, banjur ketemu Dèwi Kunthi sing ngelingake yen ing wektu iki Sri Krêsna kudu nindakaké kewajiban lan ngorbanake kabecikan."
" Sarêng Duryudana amêksa-mêksa Sri Krêsna mangsuli kalayan sêmu sêrêng ""botên amargi saking pêpenginan, botên saking ngangkah kabêgjan, sarta botên saking gêgêthingan, ugi botên awit saking panasaran, kula tamtu damêl kasaenan, saha amung badhe anêdha têtêdhan saking tiyang ingkang sami sih. Tiyang kenging nêdha sanèsipun, manawi tiyang sawêg sangsara, o: prabu, măngka ngantos dumugi samangke, pandamêl paduka dèrèng nate wontên ingkang anênangi sih kula, ugi botên damêl kasangsaran kula. Dhuh! prabu, wiwit miyos paduka botên sarju dhatêng Pandhawa, ingkang utami sangêt pambêkanipun, sadaya têtêdhan punika karêgêdan dening piawon, pramila botên prayogi upami kalampahan kula nêdha punika, saking pangintên kula, amung têtêdhan saking paman Widura ingkang prayogi kula têdha. ""Sasampunipun ngandika makatên, Sri Krêsna jumênêng, lajêng anilar Duryudana wangsul dhatêng padalêmanipun Widura malih. Dalunipun abawaraos kalayan Sang Widura, Sri Krêsna matur manawi anggènipun dhatêng Astinapura punika pangangkahipun badhe angluwari dunya saking rêgêmaning pêjah, sangêt pamurihipun sagêda kalampahan rukun,  tamtu badhe dados prayoginipun kalih golongan.;","Duryudana njaluk supaya Sri Krêsna nampa dhaharan, nanging Sri Krêsna ngandhakake manawa tujuane mung kanggo ngupaya perdamaian antarane Kurawa lan Pandhawa."
" Manawi Kurawa purun mirêngakên pamrayoginipun Sri Krêsna, ingkang kaèbêkan kawicaksanan, adil, saha agêng pigunanipun, tamtu kalampahan arêrukunan kados pangajêng-ajêngipun Sri Krêsna. Enjingipun Sri Krêsna manjing panangkilan, ing ngriku sampun kêbak dening para nata tuwin para satriya, ingkang busananipun rinêngga ing sêsotya nawarêtna. Sarêng Sri Krêsna ingkang paningalipun kadi sêkar tunjung, mangagêm sarwa jêne, katingalipun kadi nila kaêmbanan ing mas, tuwin mangagêm manik kastuba ingkang sunaripun ambalêrêngi punika lumêbêt, sadaya lajêng sami angurmati. Para nata miwah para satriya sami amandêng ing panjênênganipun, kalayan tidhêm pramanêm, ngantos Sri Krêsna ngandika, suwantênipun kadi galudhug ing măngsa jawah, ""dhuh:para têdhak Barata, dhatêng kula ing ngriki amung murih lêstantunipun Pandhawa lan Kurawa sami atut arukun, dados botên dadak mawi angutahakên rahing senapati."" Sasampunipun ngandika makatên, Sri Krêsna lajêng wiwit anêrangakên badhe kados punapa kuwawinipun Prabu Drêtarastra, manawi para Pandhawa kalayan para putranipun sami rumêksa singangsananipun. Ananging upaminipun salah satunggaling golongan wau wontên ingkang  sirna, punika punapa kêkapanipun. ;","Sri Krêsna mrayogèkakên rukun antar Pandhawa lan Kurawa, ngandhakake babagan kawicaksanan lan keadilan kang sepatuté, lan ngélingaké Prabu Drêtarastra supaya ora nggawé kerusuhan."
"Raos wêlas asihipun nalika Pandhawa taksih sami alit punika dipun gêsangna malih. Para Pandhawa sampun sami anêtêpi prasêtyanipun anglampahi dados tiyang bucalan salêbêtipun tigawêlas taun, mila samangke mugi sang prabu ugi botên angingkêdi pangandikanipun. Sri Krêsna lajêng ngandika manawi dados wakilipun Pandhawa, ngandikanipun: ""kawuningana kula sampun anglampahi sadhawah paduka, kalayan nandhang saliring sangsara wontên ing asêpi, mugi panduka kaparênga mêngku kadosdene bapa utawi sadhèrèk… manawi kula kalayan para sadhèrèk kalintu tindakipun, sampun dados kawajibaning bapa angukum dhatêng kula sadaya saha lajêng pitêdah margi ingkang prayogi, mugi paduka ugi tumindaka ing margining adil."" Punapadene Sri Krêsna angèngêtakên dhatêng Prabu Drêtarastra kados punapa kasangsaran ingkang sinandhang dening para sutanipun Pandhu, ingkang kalampahan kanthi panalăngsa sarta tansah angêgungakên apura, andikanipun Sri Krêsna: ""amung murih têtêping adil, sarta kamulyan tuwin kanugrahan paduka, dhuh: prabu, mugi sampun dados cêcongkrahan, sampun ngangkah damêl karisakaning tiyang ing dunya, sarta sampun nganggêp sae dhatêng piawon saha sampup nganggêp awon dhatêng kasaenan, o: ratuning bawana, kêparênga amêksa para putra, supados ambirat kamurkanipun, manawi paduka katêmpuh ing parangmuka, para anakipun Prita, tamtu mirantos badhe lêbur ing ayahan paduka, dhuh, dhuh, narendraning băngsa Kuru, mugi tumindaka ing margi ingkang têtela prayogi tumrap paduka. ""Suwantênipun Sri Krêsna ingkang dumêling kadi kêncringing salaka punika botên kapirêng malih, ing ngriku botên wontên sabawa ingkang kapiyarsa, para narendra amung sami kèndêl botên wontên ingkang purun anyambêti pangandika.;","Sri Krêsna ngéwangi Pandhawa nalika isih alit lan ngandhakake yèn dheweke wis ngalami penderitaan, mréntah Prabu Drêtarastra supaya adil marang Pandhawa lan ngatasi masalah kanthi bener."
